latitude,longitude,shebei,cengshu,gaodu,zhengpin,cishu,cev,k30,sr,mol,quyu,vbrt_type,id,v,latitude2,longitude2,shebei2,cengshu2,gaodu2,zhengpin2,cishu2,cev2,k302,sr2,mol2,quyu2,vbrt_type2,id2,v2
30.63270588,103.9686171,6667,0,490.09,0,0,0,0,84.19045012,100.2194567,4,0,279041,0,30.63270588,103.9686171,6667,1,490.09,31,1,47.488,132.1459081,84.19045012,100.2194567,4,0,279041,1
30.63269983,103.96862,6667,0,490.1,0,0,0,0,77.9104805,84.83588298,4,0,279042,0,30.63269983,103.96862,6667,1,490.1,31,1,25.2568,111.86166,77.9104805,84.83588298,4,0,279042,1
30.63269373,103.9686229,6667,0,490.1,0,0,0,0,77.88383264,84.77591492,4,0,279043,0,30.63269373,103.9686229,6667,1,490.1,31,1,20.7379,111.7825882,77.88383264,84.77591492,4,0,279043,1
30.63268715,103.9686245,6667,0,490.11,0,0,0,0,73.59539514,75.65734636,4,0,279044,0,30.63268715,103.9686245,6667,1,490.11,31,1,13.1821,99.75915923,73.59539514,75.65734636,4,0,279044,1
30.63268254,103.9686248,6667,0,490.11,0,0,0,0,81.51107484,93.34134011,4,0,279045,0,30.63268254,103.9686248,6667,1,490.11,31,1,39.0882,123.0766615,81.51107484,93.34134011,4,0,279045,1
30.63267799,103.9686251,6667,0,490.12,0,0,0,0,77.84687385,84.69281345,4,0,279046,0,30.63267799,103.9686251,6667,1,490.12,31,1,24.6088,111.6730135,77.84687385,84.69281345,4,0,279046,1
30.63267152,103.9686257,6667,0,490.13,0,0,0,0,72.20872249,72.92402436,4,0,279047,0,30.63267152,103.9686257,6667,1,490.13,31,1,9.3103,96.15509541,72.20872249,72.92402436,4,0,279047,1
30.63266553,103.9686273,6667,0,490.14,0,0,0,0,70.20945995,69.15609473,4,0,279048,0,30.63266553,103.9686273,6667,1,490.14,31,1,5.6623,91.18683377,70.20945995,69.15609473,4,0,279048,1
30.63266041,103.9686303,6667,0,490.14,0,0,0,0,81.15508643,92.46375001,4,0,279049,0,30.63266041,103.9686303,6667,1,490.14,31,1,26.0368,121.9195016,81.15508643,92.46375001,4,0,279049,1
30.63265667,103.9686349,6667,0,490.15,0,0,0,0,74.91521448,78.35399451,4,0,279050,0,30.63265667,103.9686349,6667,1,490.15,31,1,11.6714,103.3148662,74.91521448,78.35399451,4,0,279050,1
30.6326537,103.9686401,6667,0,490.16,0,0,0,0,73.65362886,75.77434819,4,0,279051,0,30.6326537,103.9686401,6667,1,490.16,31,1,13.5957,99.9134338,73.65362886,75.77434819,4,0,279051,1
30.63265014,103.9686454,6667,0,490.16,0,0,0,0,84.29207512,100.4900829,4,0,279052,0,30.63265014,103.9686454,6667,1,490.16,31,1,45.881,132.5027465,84.29207512,100.4900829,4,0,279052,1
30.63264561,103.9686503,6667,0,490.17,0,0,0,0,78.82117276,86.91099162,4,0,279053,0,30.63264561,103.9686503,6667,1,490.17,31,1,30.9653,114.5978265,78.82117276,86.91099162,4,0,279053,1
30.63264018,103.9686545,6667,0,490.17,0,0,0,0,76.03530675,80.7178263,4,0,279054,0,30.63264018,103.9686545,6667,1,490.17,31,1,21.9989,106.431733,76.03530675,80.7178263,4,0,279054,1
30.63263577,103.9686563,6667,0,490.18,0,0,0,0,82.59246798,96.0586251,4,0,279055,0,30.63263577,103.9686563,6667,1,490.18,32,1,37.4898,126.6595795,82.59246798,96.0586251,4,0,279055,1
30.63263088,103.9686564,6667,0,490.18,0,0,0,0,77.30829389,83.49102358,4,0,279056,0,30.63263088,103.9686564,6667,1,490.18,31,1,31.5266,110.088375,77.30829389,83.49102358,4,0,279056,1
30.63262606,103.968655,6667,0,490.18,0,0,0,0,74.77979719,78.07294252,4,0,279057,0,30.63262606,103.968655,6667,1,490.18,31,1,19.6214,102.9442807,74.77979719,78.07294252,4,0,279057,1
30.6326217,103.9686525,6667,0,490.19,0,0,0,0,80.7436635,91.45977489,4,0,279058,0,30.6326217,103.9686525,6667,1,490.19,31,1,30.8241,120.5956947,80.7436635,91.45977489,4,0,279058,1
30.632618,103.9686489,6667,0,490.19,0,0,0,0,77.18184823,83.211353,4,0,279059,0,30.632618,103.9686489,6667,1,490.19,31,1,25.2754,109.719611,77.18184823,83.211353,4,0,279059,1
30.63261498,103.9686446,6667,0,490.19,0,0,0,0,77.42116375,83.74146133,4,0,279060,0,30.63261498,103.9686446,6667,1,490.19,31,1,25.3202,110.4185935,77.42116375,83.74146133,4,0,279060,1
30.63261261,103.9686399,6667,0,490.19,0,0,0,0,77.06444389,82.95251866,4,0,279061,0,30.63261261,103.9686399,6667,1,490.19,31,1,19.7427,109.378321,77.06444389,82.95251866,4,0,279061,1
30.6326109,103.968635,6667,0,490.19,0,0,0,0,81.35326278,92.95127538,4,0,279062,0,30.6326109,103.968635,6667,1,490.19,32,1,30.736,122.5623357,81.35326278,92.95127538,4,0,279062,1
30.63260973,103.9686298,6667,0,490.2,0,0,0,0,78.52223858,86.22430215,4,0,279063,0,30.63260973,103.9686298,6667,1,490.2,32,1,25.1974,113.6923815,78.52223858,86.22430215,4,0,279063,1
30.63260887,103.9686244,6667,0,490.2,0,0,0,0,77.457985,83.8233234,4,0,279064,0,30.63260887,103.9686244,6667,1,490.2,31,1,28.1483,110.526534,77.457985,83.8233234,4,0,279064,1
30.63260844,103.9686191,6667,0,490.2,0,0,0,0,83.74083045,99.03084336,4,0,279065,0,30.63260844,103.9686191,6667,1,490.2,31,1,30.2749,130.5786437,83.74083045,99.03084336,4,0,279065,1
30.63260795,103.968614,6667,0,490.2,0,0,0,0,74.89860775,78.3194737,4,0,279066,0,30.63260795,103.968614,6667,1,490.2,31,1,13.737,103.2693482,74.89860775,78.3194737,4,0,279066,1
30.63260691,103.9686066,6667,0,490.2,0,0,0,0,76.00826561,80.65992742,4,0,279067,0,30.63260691,103.9686066,6667,1,490.2,31,1,24.5004,106.3553895,76.00826561,80.65992742,4,0,279067,1
30.63260582,103.9685993,6667,0,490.21,0,0,0,0,75.43080056,79.43335891,4,0,279068,0,30.63260582,103.9685993,6667,1,490.21,31,1,13.6822,104.7380787,75.43080056,79.43335891,4,0,279068,1
30.63272292,103.9685447,6667,1,490.11,32,1,38.6908,120.6653923,80.76543703,91.51263353,4,0,279016,1,30.63272292,103.9685447,6667,1,490.11,32,2,41.1466,120.6653923,80.76543703,91.51263353,4,0,279287,0.83
30.63272837,103.968542,6667,1,490.1,32,1,30.6566,111.9802441,77.95040905,84.92581714,4,0,279017,1,30.63272837,103.968542,6667,1,490.1,32,2,25.0378,111.9802441,77.95040905,84.92581714,4,0,279288,0.83
30.63273391,103.9685392,6667,1,490.09,31,1,25.3269,104.5265775,75.35462499,79.27295635,4,0,279018,1,30.63273391,103.9685392,6667,1,490.09,31,2,26.9461,104.5265775,75.35462499,79.27295635,4,0,279289,0.83
30.63273978,103.9685365,6667,1,490.09,31,1,21.3186,103.2312355,74.8846971,78.29056901,4,0,279019,1,30.63273978,103.9685365,6667,1,490.09,31,2,23.9117,103.2312355,74.8846971,78.29056901,4,0,279290,0.83
30.63274584,103.9685347,6667,1,490.08,31,1,5.2533,92.2557861,70.64865913,69.96678818,4,0,279020,1,30.63274584,103.9685347,6667,1,490.08,31,2,9.4908,92.2557861,70.64865913,69.96678818,4,0,279291,0.83
30.63275225,103.9685347,6667,1,490.07,31,1,48.097,140.8532056,86.59518936,106.8230711,4,0,279021,1,30.63275225,103.9685347,6667,1,490.07,31,2,53.947,140.8532056,86.59518936,106.8230711,4,0,279292,0.83
30.6327585,103.9685363,6667,1,490.07,31,1,16.5004,106.2455289,75.96931848,80.57660912,4,0,279022,1,30.6327585,103.9685363,6667,1,490.07,31,2,19.0226,106.2455289,75.96931848,80.57660912,4,0,279293,0.83
30.63276234,103.9685391,6667,1,490.06,31,1,24.154,110.9625934,77.60637078,84.15403083,4,0,279023,1,30.63276234,103.9685391,6667,1,490.06,31,2,35.3333,110.9625934,77.60637078,84.15403083,4,0,279294,0.83
30.63276516,103.9685438,6667,1,490.05,31,1,30.9316,115.4308778,79.09412717,87.5427777,4,0,279024,1,30.63276516,103.9685438,6667,1,490.05,31,2,35.6709,115.4308778,79.09412717,87.5427777,4,0,279295,0.83
30.63276638,103.9685496,6667,1,490.05,31,1,19.4548,111.752734,77.87376662,84.7532735,4,0,279025,1,30.63276638,103.9685496,6667,1,490.05,31,2,33.3697,111.752734,77.87376662,84.7532735,4,0,279296,0.83
30.63276607,103.9685556,6667,1,490.05,32,1,52.358,135.2498753,85.06539477,102.5735054,4,0,279026,1,30.63276607,103.9685556,6667,1,490.05,32,2,46.554,135.2498753,85.06539477,102.5735054,4,0,279297,0.83
30.63276452,103.9685608,6667,1,490.04,32,1,19.196,110.4528067,77.43283863,83.7674086,4,0,279027,1,30.63276452,103.9685608,6667,1,490.04,32,2,29.6817,110.4528067,77.43283863,83.7674086,4,0,279298,0.83
30.63276084,103.9685673,6667,1,490.04,31,1,21.4906,115.5971833,79.14838226,87.6689038,4,0,279028,1,30.63276084,103.9685673,6667,1,490.04,31,2,27.7088,115.5971833,79.14838226,87.6689038,4,0,279299,0.83
30.6327575,103.9685714,6667,1,490.03,32,1,40.473,138.9720193,86.08849042,105.3963794,4,0,279029,1,30.6327575,103.9685714,6667,1,490.03,32,2,41.7024,138.9720193,86.08849042,105.3963794,4,0,279300,0.83
30.63275215,103.968576,6667,1,490.03,31,1,25.5059,119.8869343,80.52152926,90.92225101,4,0,279030,1,30.63275215,103.968576,6667,1,490.03,31,2,31.9503,119.8869343,80.52152926,90.92225101,4,0,279301,0.83
30.63274633,103.9685799,6667,1,490.03,31,1,26.1262,111.1368973,77.66552126,84.28622294,4,0,279031,1,30.63274633,103.9685799,6667,1,490.03,31,2,35.5589,111.1368973,77.66552126,84.28622294,4,0,279302,0.83
30.63274043,103.9685823,6667,1,490.04,32,1,30.5612,110.1233014,77.32024786,83.51751177,4,0,279032,1,30.63274043,103.9685823,6667,1,490.04,32,2,24.5399,110.1233014,77.32024786,83.51751177,4,0,279303,0.83
30.63273506,103.9685846,6667,1,490.04,32,1,22.128,108.2911582,76.68800093,82.12801437,4,0,279033,1,30.63273506,103.9685846,6667,1,490.04,32,2,34.461,108.2911582,76.68800093,82.12801437,4,0,279304,0.83
30.63273094,103.9685882,6667,1,490.05,32,1,26.4638,119.8382078,80.50620955,90.8852968,4,0,279034,1,30.63273094,103.9685882,6667,1,490.05,32,2,39.7654,119.8382078,80.50620955,90.8852968,4,0,279305,0.83
30.63272777,103.968593,6667,1,490.05,32,1,46.122,139.9289263,86.34708533,106.1220977,4,0,279035,1,30.63272777,103.968593,6667,1,490.05,32,2,57.45,139.9289263,86.34708533,106.1220977,4,0,279306,0.83
